Username,Comment
@SugataMaity-v5r,I ordered Samsung Galaxy Tab A9+ on Thursday and now this video come 
@-AnuvaB-,under 30k apple 60hz display wow very value for money 
@Robin-g9e,2nd realme tab m redmi tab likha hua h editing mistake
@Qaws123drf,Bhai 10 se 25 haraz tk lenovo ke bhut acche tablet hai
@OnichanRandom123,Ipad is best but cant install apks 
@Etah_,I have sumsung galaxy s9 fe bahut mast hai
@Amazingvideo2222,Motorola pad 60 pro unboxing
@arpitjha6485,India me infinix note 50 kab lunch hoga pelis comment 
@ashhadneet1118,Samsung tab s10 fe plus per video
@PratikPatil-fe9ue,Best laptop for coding and editing under 50000 in 2025 video plies
@Tensorts,Trakin Tech 
@Shubhamzzzzzzz,First comment 
@annuvines,30 k all rounder phone
@ManojKumar-rp4wv,Bro i need 5G /4G Tablet 
@Amazingvideo2222,Motorola pad 60 pro unboxing
@whymewhyme1,60k tak atleast bata dete
@GratefuL-2,You should say lenovo tab pro comes with pen but not other tablets
@ANKUTZ407,Sir student's ke liye tablets  bataiye na
@therankersacademyngp,Xaiome tab is 5g and phone calling support
@VipinMalviya,15000 tk bhi ek bna doo
@ShahidKhan-zv3uj,Hi bro mobile ka video dalo under 30k. 40k april
@abhishekacharya6488,Lenovo m11 with pen= 13000/- only
@AmitGiri-t3l,Sir ji only coding ke liye laptop video bna dijiyega please jaldhi 4 se 5 din me lena hai please sir ji 
@JenniferPais-t7x,What about Lenovo tablet
@arayan625,Please review lenevo idea tab pro ka review
@rupamdey4832,All is good but 9900 rs ka pencil 
@ROHITVERMA-le3ys,Xiaomi pad 6 kitne sal tak koi v app ko sport krega agr 2025 me lete hai to
@Mehul.Chavada.1204,1k subc complete  thank you all friends
@IMKITTYQUEEN,Just reading spacs lol
@balaramrout923,Readmi pad 2 nehi he is a fake give link
@BIHARI_FRIENDS,Why not samsung s9fe
@shripadjoshi8195,Best tablet under 20000 student
@shridharniranjan625,Good evening all friends
@loardsman,Lenovo tab p12 is best under 20k 
@xyz-ts8oe,Kull milakar  agar apple ecosystem lena ipad 11 le lo aur agar android chahiye toh xiaomi pad 7
@AtishParab-g6k,Why you did not include Redmi pad pro 5G in this list ????? It's most versatile tablet under 25 K (With Offers) . Don't you agree?
@shantanukumar6046,Lenovo me pen bhi sath me aata hai ye kyu nahi bola
@GoogleGoogle-gh2cs,Love from Pakistan 
@crazyfreefire1741,Poco F7 pro launch  date
